İller,Aydınlatma,Mesken,Sanayi,Ticarethane,Toplam_Tüketim,Tüketici_Sayısı
Sivas,"49,993.17","318,070.88","396,653.72","305,423.52","1,070,141.29","357,487"
Şanlıurfa,"54,045.14","841,145.27","740,524.49","876,445.51","2,512,160.41","565,157"
Şırnak,"11,647.21","96,575.21","103,960.80","143,180.71","355,363.93","101,770"
Tekirdağ,"48,491.24","589,859.94","4,693,001.76","800,665.21","6,132,018.15","556,531"
Tokat,"39,795.31","307,556.69","222,746.08","230,030.53","800,128.61","316,980"
Trabzon,"78,993.06","595,471.77","203,622.73","491,777.13","1,369,864.69","527,861"
Tunceli,"9,327.72","38,176.30","8,789.68","54,935.36","111,229.06","55,815"
Uşak,"21,687.27","195,075.55","826,647.22","405,486.77","1,448,896.81","210,071"
Van,"18,099.80","410,753.93","102,969.09","366,098.47","897,921.29","333,685"
Yalova,"16,166.35","180,320.60","148,856.93","192,712.27","538,056.15","194,517"
Yozgat,"33,245.59","209,178.31","165,168.59","203,674.12","611,266.61","248,164"
Zonguldak,"72,384.41","405,236.06","493,495.50","308,390.63","1,279,506.60","380,806"
