"İller","Aydınlatma","Mesken","Sanayi","Ticarethane","Total_Consumption","Tüketici_Sayısı"
"İstanbul","464571.25","10901218.58","9769836.44","15790952.65","36926578.92","7624278"
"İzmir","206892.06","4047017.48","7891361.56","3716871.25","15862142.35","2295461"
"Kahramanmaraş","55904.43","458895.74","2855639.37","595990.05","3966429.59","426680"
"Karabük","22540.9","144165.13","220527.5","150112.83","537346.36","158458"
"Karaman","15348.15","123387.5","217060.77","166539.84","522336.26","143610"
"Kars","13571.08","116341.08","71517.97","118414.59","319844.72","113858"
"Kastamonu","40238.34","201368.32","362133.27","179978.86","783718.79","275467"
"Kayseri","102809.25","722649.13","1863727.43","710816.49","3400002.3","668736"
"Kırıkkale","20175.47","158739.6","167724.95","159420.05","506060.07","150966"
"Kırklareli","25392.93","231364.58","1378069.98","314389.6","1949217.09","198095"
"Kırşehir","20601.16","122865.28","205776.59","138318.66","487561.69","141110"
"Kilis","7511.81","74321.21","39034.29","116797.79","237665.1","61300"
"Kocaeli","93106.48","1158311.99","6346153.2","1356497.37","8954069.04","844701"
"Konya","141307.24","1138372.83","1813013.87","1436013.92","4528707.86","1102562"
"Kütahya","41565.08","275115.65","797186.96","364394.98","1478262.67","372831"
"Malatya","45761.83","377528.6","558242.81","443360.7","1424893.94","406430"
"Manisa","72043.95","861327.03","2116944.87","940255.79","3990571.64","765686"
"Mardin","25805.1","292156.89","288805.6","366729.77","973497.36","249631"
"Mersin","88831.49","1382852.86","1618756.13","1252508.07","4342948.55","953969"
"Muğla","71124.77","896202.34","712927.79","1487917.53","3168172.43","588683"
"Muş","7834.67","146225.37","116936.5","116771.43","387767.97","119669"
"Nevşehir","31620.06","168112.09","149057.42","206050.71","554840.28","181556"
"Niğde","31709.02","165821.12","502392.07","182388.98","882311.19","194602"
"Ordu","68937.22","445229.86","352155.54","320725.11","1187047.73","492664"
"Osmaniye","24003.45","331788.95","3030571.04","257241.18","3643604.62","220501"
"Rize","42408.43","229004.47","226280.63","208076.97","705770.5","232904"
"Sakarya","59530.68","611816.05","2379468.95","668126.61","3718942.29","467457"
"Samsun","96423.07","799843.97","848836.69","718549.99","2463653.72","760104"
"Siirt","15364.14","117095.11","132899.3","107761.59","373120.14","89426"
"Sinop","21616.89","146463.59","72846.38","92328.13","333254.99","158681"
"Sivas","49993.17","318070.88","396653.72","305423.52","1070141.29","357487"
"Şanlıurfa","54045.14","841145.27","740524.49","876445.51","2512160.41","565157"
"Şırnak","11647.21","96575.21","103960.8","143180.71","355363.93","101770"
"Tekirdağ","48491.24","589859.94","4693001.76","800665.21","6132018.15","556531"
"Tokat","39795.31","307556.69","222746.08","230030.53","800128.61","316980"
"Trabzon","78993.06","595471.77","203622.73","491777.13","1369864.69","527861"
"Tunceli","9327.72","38176.3","8789.68","54935.36","111229.06","55815"
"Uşak","21687.27","195075.55","826647.22","405486.77","1448896.81","210071"
"Van","18099.8","410753.93","102969.09","366098.47","897921.29","333685"
"Yalova","16166.35","180320.6","148856.93","192712.27","538056.15","194517"
"Yozgat","33245.59","209178.31","165168.59","203674.12","611266.61","248164"
"Zonguldak","72384.41","405236.06","493495.5","308390.63","1279506.6","380806"
"","","","","","",""
