Ýller;Aydýnlatma;Mesken;Sanayi;Ticarethane;Total_Consumption;Tüketici_Sayýsý
Düzce;28680.3;212835.39;546771.99;216216.64;1004504.32;175.288
Edirne;30779.48;274899.77;409348.01;334628.62;1049655.88;236.417
Elâzýð;33883.32;270787.23;633660.72;371355.14;1309686.41;313.851
Erzincan;19073.46;108756.86;100857.47;143493.41;372181.2;144.790
Erzurum;41133.79;349175.43;178518.22;380123.45;948950.89;343.994
Eskiþehir;44635.76;538485.83;1338353.18;637873.96;2559348.73;544.714
Gaziantep;71571.71;1026467.29;4461694.17;1107444.55;6667177.72;677.672
Giresun;54290.84;279644.28;65140.17;200673.76;599749.05;303.835
Gümüþhane;15066.75;64470.8;246809.75;62930.44;389277.74;87.316
Hakkâri;11712.82;71456.45;754.53;86102.91;170026.71;66.554
Hatay;72198.68;1007483.7;2249426.81;822210.28;4151319.47;706.243
Iðdýr;11213.06;82218.95;5862.26;82262.18;181556.45;71.051
Isparta;36884.29;282530.22;464556.27;327980.52;1111951.3;269.770
Ýstanbul;464571.25;10901218.58;9769836.44;15790952.65;36926578.92;7.624.278
Ýzmir;206892.06;4047017.48;7891361.56;3716871.25;15862142.35;2.295.461
Kahramanmaraþ;55904.43;458895.74;2855639.37;595990.05;3966429.59;426.680
Karabük;22540.9;144165.13;220527.5;150112.83;537346.36;158.458
Karaman;15348.15;123387.5;217060.77;166539.84;522336.26;143.610
Kars;13571.08;116341.08;71517.97;118414.59;319844.72;113.858
Kastamonu;40238.34;201368.32;362133.27;179978.86;783718.79;275.467
Kayseri;102809.25;722649.13;1863727.43;710816.49;3400002.3;668.736
Kýrýkkale;20175.47;158739.6;167724.95;159420.05;506060.07;150.966
Kýrklareli;25392.93;231364.58;1378069.98;314389.6;1949217.09;198.095
Kýrþehir;20601.16;122865.28;205776.59;138318.66;487561.69;141.110
Kilis;7511.81;74321.21;39034.29;116797.79;237665.1;61.300
Kocaeli;93106.48;1158311.99;6346153.2;1356497.37;8954069.04;844.701
Konya;141307.24;1138372.83;1813013.87;1436013.92;4528707.86;1.102.562
